Gen	t_n10	t_n11	t_n12	t_n13	t_n14	t_n15	t_n16	t_n17	mu	sigma2	lnL
50225000	152.3758592	97.1554153	85.1626535	83.1537623	64.8322420	23.5827407	8.9743454	4.5641229	0.0082907	0.0033696	-6.907
50230000	152.6401098	97.3236134	85.3018342	82.8765562	61.3418843	24.1966875	11.2486529	6.0599609	0.0033024	0.0084180	-8.073
50235000	153.6295775	95.2452187	86.6039590	83.8729801	65.8097330	25.6396557	10.2206423	5.5892101	0.0022760	0.0056590	-9.832
50240000	162.8344159	91.4165620	83.5753607	81.8199445	65.9922701	22.0752085	9.7272136	5.4565960	0.0055372	0.0045261	-8.536
50245000	157.3172311	95.6780399	83.7200183	80.5026810	58.8541692	25.5415047	13.4758046	7.3890496	0.0020484	0.0067204	-14.752
50250000	153.6801454	92.3567618	82.9621935	80.9820375	64.3054614	25.8355354	11.9680939	6.1343010	0.0041456	0.0044334	-4.926
50255000	156.5799650	98.5377946	78.3821033	75.1558475	59.6189029	23.0396715	10.5356590	6.2732577	0.0224666	0.0115773	-6.879
50260000	157.3542249	95.1279295	83.9233826	81.4450829	66.1497688	26.2070268	12.5553734	7.2342434	0.0187210	0.0138070	-10.271
50265000	155.9936763	94.4032491	80.1785579	78.5400105	65.0277725	24.6404739	10.9323813	7.4167472	0.0171438	0.0428585	-7.834
50270000	163.7700664	92.1372575	83.7325712	82.0872430	65.5511396	25.2196667	10.3949715	5.5047376	0.0105023	0.0099218	-5.460
50275000	153.9536473	99.5422855	92.5534215	87.9916900	63.1663713	22.8565512	9.0141649	6.3056429	0.0469141	0.0233914	-7.777
50280000	160.3530521	90.9809086	82.6445481	81.4431068	63.1307020	23.8553506	12.0918706	7.1035444	0.0653664	0.0425792	-5.944
50285000	159.0242566	94.1157291	79.3552964	77.6357871	61.6441884	22.6888137	13.0973432	7.3385871	0.1129780	0.0566098	-5.896
50290000	150.8181747	98.6321981	89.2945891	87.1909708	64.7957659	22.6578321	13.3135447	6.6181847	0.0055019	0.0125272	-4.892
50295000	151.3773721	97.6957338	89.5275092	87.5155408	66.1984794	26.3493153	13.2059822	7.5934292	0.0067730	0.0063291	-10.670
50300000	160.9975796	97.5167952	87.0697229	84.7595012	63.5703316	25.4182427	12.6715934	6.8366442	0.0041558	0.0081370	-6.153
50305000	153.8062298	94.5685398	82.7145949	81.0781521	65.5772580	25.9749996	12.3043718	7.4624963	0.0052679	0.0280205	-4.702
50310000	165.1447455	100.4197056	86.8964744	84.9781578	61.7973600	26.8875300	15.1611798	8.1624000	0.0083786	0.0069577	-6.414
